,Name,Scopus ID,Coauthors
80,Paul Pavlidis,7004159655,"{'Judy Illes': 1, 'Kurt Haas': 1, 'Douglas Allan': 1, 'Catharine Rankin': 1, 'Shernaz Bamji': 1, 'Kota Mizumoto': 1, 'Ann-Marie Craig': 1, 'Max Cynader': 1, 'Mahmoud Pouladi': 1, 'Blair Leavitt': 1}"
81,Steven Pelech,19435899100,"{'Catharine Rankin': 1, 'Charles Krieger': 1, 'Lynn Raymond': 1, 'Tim Murphy': 1}"
82,Anthony Phillips,7401658611,"{'Terry Snutch': 1, 'Jeremy Seamans': 1, 'Yu Tian Wang': 1, 'Stan Floresco': 1, 'Catharine Winstanley': 1, 'Shernaz Bamji': 1, 'Brian MacVicar': 1, 'Jon Stoessl': 1, 'Vesna Sossi': 1, 'Judy Illes': 1, 'Julie Robillard': 1, 'Steven Barnes': 1, 'Alasdair Barr': 1, 'Todd Woodward': 1, 'Blair Leavitt': 1}"
83,Mahmoud Pouladi,6507466238,"{'Blair Leavitt': 1, 'Freda Miller': 1, 'Lynn Raymond': 1, 'Cheryl Wellington': 1, 'Tim Murphy': 1, 'Paul Pavlidis': 1}"
84,Jacqueline Quandt,8968134400,"{'Helen Tremlett': 1, 'Cheryl Wellington': 1, 'Cornelia Laule': 1, 'Shannon Kolind': 1, 'Roger Tam': 1, 'Carles Vilarino-Guell': 1, 'Weihong Song': 1, 'Jane Roskams': 1}"
85,Manon Ranger,21934612800,"{'Shelina Babul': 1, 'Kiran Soma': 1, 'Steven Miller': 1, 'Ruth Grunau': 1, 'Daniel Goldowitz': 1, 'Todd Woodward': 1}"
86,Catharine Rankin,7007032941,"{'Kurt Haas': 1, 'Douglas Allan': 1, 'Paul Pavlidis': 1, 'Shernaz Bamji': 1, 'Weihong Song': 1, 'Kota Mizumoto': 1, 'Steven Pelech': 1, 'Vanessa Auld': 1}"
87,Alexander Rauscher,23390344400,"{'Robin Hsiung': 1, 'Vesna Sossi': 1, 'Roger Tam': 1, 'Alexander Weber': 1, 'Fidel Vila-Rodriguez': 1, 'Donna Lang': 1, 'William Panenka': 1, 'Alasdair Barr': 1, 'Thalia Field': 1, 'Shannon Kolind': 1, 'Cornelia Laule': 1, 'Debbie Giaschi': 1, 'Piotr Kozlowski': 1, 'Lara Boyd': 1, 'John Kramer': 1, 'Neil Cashman': 1, 'Anthony Herdman': 1, 'Todd Woodward': 1, 'Lawrence Ward': 1, 'Paul van Donkelaar': 1, 'David Li': 1}"
88,Lynn Raymond,7102737545,"{'Tim Murphy': 1, 'Shernaz Bamji': 1, 'Blair Leavitt': 1, 'Max Cynader': 1, 'Ann-Marie Craig': 1, 'Ian Mackenzie': 1, 'Mahmoud Pouladi': 1, 'Steven Pelech': 1, 'Cheryl Wellington': 1, 'Charles Krieger': 1}"
89,Heather Robertson,26536697200,"{'Raymond Lam': 1, 'Lakshmi Yatham': 1}"
90,Julie Robillard,55216196900,"{'Judy Illes': 1, 'Sherri Hayden': 1, 'Brian MacVicar': 1, 'Anthony Phillips': 1}"
91,Jessica Rosin,55252403200,{}
92,Jane Roskams,55889287500,"{'Wolfram Tetzlaff': 1, 'Jacqueline Quandt': 1, 'Vanessa Auld': 1}"
93,Christian Schütz,7006895707,{'Luke Clark': 1}
94,Jeremy Seamans,7003907622,"{'Anthony Phillips': 1, 'Stan Floresco': 1, 'Todd Woodward': 1}"
95,Mypinder Sekhon,6603557927,"{'Cheryl Wellington': 1, 'Peter Cripton': 1, 'William Panenka': 1, 'Thalia Field': 1, 'Noah Silverberg': 1}"
96,Noah Silverberg,18438336300,"{'Cheryl Wellington': 1, 'William Panenka': 1, 'Lara Boyd': 1, 'Daniela Palombo': 1, 'Thalia Field': 1, 'Rebecca Todd': 1, 'Shelina Babul': 1, 'Alasdair Barr': 1, 'Mypinder Sekhon': 1, 'Naznin Virji-Babul': 1, 'Ian Mackenzie': 1}"
97,Terry Snutch,35408131500,"{'Anthony Phillips': 1, 'Piotr Kozlowski': 1, 'Brian MacVicar': 1, 'Shernaz Bamji': 1, 'Jon Stoessl': 1, 'Robin Hsiung': 1, 'Tim Murphy': 1, 'Vanessa Auld': 1}"
98,Jason Snyder,28167863900,"{'Fidel Vila-Rodriguez': 1, 'Stan Floresco': 1, 'Kiran Soma': 1}"
99,Kiran Soma,7005934914,"{'Catharine Winstanley': 1, 'Stan Floresco': 1, 'Manon Ranger': 1, 'Tao Huan': 1, 'Jason Snyder': 1, 'Todd Woodward': 1, 'Liisa Galea': 1}"
100,Weihong Song,7401655359,"{'Carles Vilarino-Guell': 1, 'Adele Diamond': 1, 'Robin Hsiung': 1, 'Catharine Rankin': 1, 'Alasdair Barr': 1, 'Clare Beasley': 1, 'Jacqueline Quandt': 1, 'Cheryl Wellington': 1}"
101,Vesna Sossi,56276238300,"{'Alexander Rauscher': 1, 'Robin Hsiung': 1, 'Roger Tam': 1, 'Raymond Lam': 1, 'Lakshmi Yatham': 1, 'Cornelia Laule': 1, 'Shannon Kolind': 1, 'Doris Doudet': 1, 'Martin McKeown': 1, 'Jon Stoessl': 1, 'Ian Mackenzie': 1, 'Catharine Winstanley': 1, 'Silke Cresswell': 1, 'Lara Boyd': 1, 'Teresa Liu-Ambrose': 1, 'Piotr Kozlowski': 1, 'Anthony Herdman': 1, 'Todd Woodward': 1, 'Debbie Giaschi': 1, 'Lawrence Ward': 1, 'Carles Vilarino-Guell': 1, 'Anthony Phillips': 1}"
102,Miriam Spering,57203220428,"{'Luke Clark': 1, 'Martin McKeown': 1}"
103,Evelyn Stewart,54414801200,"{'Jehannine Austin': 1, 'Clare Beasley': 1, 'Alasdair Barr': 1, 'Todd Woodward': 1, 'Donna Lang': 1, 'Judy Illes': 1}"
